title;lien;company;categorie;Reference;Publie le;Type de poste;Lieu de travail;Experience;Etude;Remuneration proposee;Disponibilite;Langues;Mobilite
Technicien Réseaux et Système;https://www.keejob.com/offres-emploi/153484/technicien-réseaux-et-système/;AT SERVICES;call center / télévente;153484;26-mars-22;CDI;La MarsaTunisTunisie;Entre 1 et 2 ans;Bac + 3;1000 - 1200 DT / Mois;Plein temps;Français;UNKNOWN
Back office (ITALIANO);https://www.keejob.com/offres-emploi/153044/back-office-italiano/;TRANSCOM;call center / télévente;153044;26-mars-22;CDI-SIVP-;Cite El KhadraTunisTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;Anglais Italien;UNKNOWN
Technicien supérieur en informatique;https://www.keejob.com/offres-emploi/152653/technicien-supérieur-en-informatique/;RAS CONSULTING;aéronautique / aviation / voyagiste;152653;26-mars-22;UNKNOWN;TunisTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Ingénieur Méthode;https://www.keejob.com/offres-emploi/153766/ingénieur-méthode/;ONETECH HOLDING;informatique / télécoms;153766;26-mars-22;CDI;Menzel JemilBizerteTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Télévendeurs Prévoyance;https://www.keejob.com/offres-emploi/153008/télévendeurs-prévoyance/;FILIASSUR TUNISIE;banque / finance / assurances;153008;26-mars-22;CDI-SIVP-;ArianaTunisie;Moins d'un an;Bac + 3;830 - DT / Mois;Plein temps;Français;UNKNOWN
TECHNICIENNE QUALITE;https://www.keejob.com/offres-emploi/153737/technicienne-qualite/;TUNICAST;industrie métalliques;153737;26-mars-22;CDD-SIVP-;Ben ArousTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Chargé de clientèle à Sidi Bouzid;https://www.keejob.com/offres-emploi/153038/chargé-de-clientèle-à-sidi-bouzid/;TUNISIE LEASING ET FACTORING;banque / finance / assurances;153038;26-mars-22;CDI-CDD-SIVP;Sidi BouzidTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Manager / Superviseur d'Equipe;https://www.keejob.com/offres-emploi/153061/manager-superviseur-dequipe/;PARTNER RECRUITMENT;recrutement / ressources humaines;153061;26-mars-22;UNKNOWN;TunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Gestionnaire Maintenance et Pièces Rechange;https://www.keejob.com/offres-emploi/152523/gestionnaire-maintenance-et-pièces-rechange/;LA BROSSE;autres;152523;26-mars-22;UNKNOWN;TunisTunisie;Entre 2 et 5 ans;Bac + 4;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
HPE Aruba TAC Engineer- English;https://www.keejob.com/offres-emploi/153556/aruba-tac-engineer-english/;HPE;informatique / télécoms;153556;26-mars-22;CDI;Ariana VilleArianaTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Anglais;Locale
